Ссылка;Высказывание;Ключевые слова;Счёт;;;;
https://coronafake.ru/fakes/nas-xotyat-ubit-vyshkami-5g;Высокие диапазоны 5G убьют весь иммунитет человека, что приведет к заболеванию COVID-19;5G;1;;;заражение;
https://ren.tv/news/v-mire/682761-britantsy-unichtozhaiut-vyshki-5g-iz-za-koronavirusa;Британцы уничтожают вышки 5G из-за коронавируса;5G;2;;;путь заражения;
https://ren.tv/news/v-mire/682761-britantsy-unichtozhaiut-vyshki-5g-iz-za-koronavirusa;нет никаких научных доказательств связи вируса с сетью 5G.;5G;3;;;заразность;
https://ren.tv/news/v-mire/706675-v-minkomsviazi-razvenchali-mif-o-setiakh-5g-i-koronaviruse;В Минкомсвязи назвали бредом слухи о связи сетей 5G с коронавирусом;5G;4;;;;
https://ren.tv/news/v-mire/682684-rassadniki-koronavirusa-vandaly-v-britanii-povredili-20-vyshek-5g;Нет никаких научных доказательств какой-либо связи между 5G и коронавирусом.;5G;5;;;заболеваемость;
https://sitv.ru/arhiv/news/kto-pridumal-chto-vyshki-5-g-vyzyvayut-koronavirus-i-pochemu-v-eto-veryat/;Якобы заразившиеся коронавирусом, на самом деле, страдают от нехватки кислорода в организме, вызванной «5G-радиацией».;5G;6;;;заболевание;
https://www.rbc.ru/rbcfreenews/5efb15ee9a794718743dfa23;Коронавирус к вышкам связи 5G не имеет никакого отношения.;5G;7;;;осложнение.я;
https://quote.rbc.ru/news/article/5ece1abd9a794796eae2c207;с теорией о том, что пандемия коронавируса и развитие 5G являются звеньями одной цепи.;5G;8;;;;
https://www.dw.com/ru/%D0%B2%D1%8B%D1%88%D0%BA%D0%B8-5g-%D0%B6%D0%B5%D1%80%D1%82%D0%B2%D1%8B-%D1%82%D0%B5%D0%BE%D1%80%D0%B8%D0%B9-%D0%B7%D0%B0%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B0-%D0%B2%D0%BE-%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81%D0%B0/a-53525988;Сторонники теорий заговора в ряде стран жгут вышки мобильной связи 5G, веря в то, что они влияют на распространение COVID-19.;5G;9;;;карантин;
https://lenta.ru/news/2020/05/18/5g/;Никакие радиоволны, в том числе от вышек связи 5G, не могут способствовать распространению коронавируса.;5G;10;;;самоизоляция;
https://www.kavkazr.com/a/30641449.html;Нет, вышки 5G не вызывают коронавирус;5G;11;;;ограничения;
https://tass.ru/obschestvo/8388839;утверждают, что коронавирусной инфекции не существует, и она выдумана для дальнейшего распространения сети 5G с целью облучения и чипирования.;5G;12;;;социальная дистанция;
https://www.mythdetector.ge/ru/myth/blizkii-kontakt-s-celovekom-ili-set-5g-otkuda-rasprostranaetsa-korona;О возможной связи между новой коммуникационной сетью 5G и распространением коронавируса заговорили во всем мире.;5G;13;;;;
https://www.mythdetector.ge/ru/myth/blizkii-kontakt-s-celovekom-ili-set-5g-otkuda-rasprostranaetsa-korona;Еще в начале года было высказано предположение, что сеть 5G параллельно с распространением вируса наносит ущерб иммунной системе человека и, по этой причине имеют место осложнения, вызванные коронавирусной инфекцией, что увеличивает смертность.;5G;14;;;информация;
